PersonID	x	y	Time	Width	Distance		preName	CurrentName	input	
0	-0.3103575	-1.046193	1.666718	2	29	19	20	AirTap	
0	0.5970311	0.8154107	1.633575	2	26	20	0	AirTap	
0	-0.2696667	0.2151143	1.702774	2	26	0	1	AirTap	
0	0.4234898	-0.08785323	1.131729	2	26	1	2	AirTap	
0	-0.603255	-0.671382	3.465439	2	26	2	3	AirTap	
0	0.3739468	0.7644412	1.999969	2	26	3	4	AirTap	
0	-0.3551361	-0.2276031	1.56601	2	26	4	5	AirTap	
0	-0.3493092	-0.2362536	1.501419	2	26	5	6	AirTap	
0	0.3098787	-0.4080388	1.398392	2	26	6	7	AirTap	
0	0.1478858	0.9177759	1.53418	2	26	7	8	AirTap	
0	1.147098	-1.008444	1.500183	2	26	8	9	AirTap	
0	-0.2362234	-0.4652703	1.400452	2	26	9	10	AirTap	
0	1.085155	-0.8047461	1.967545	2	26	10	11	AirTap	
0	-0.2932232	-0.1150988	2.099625	2	26	11	12	AirTap	
0	0.3177829	-0.326186	2.369141	2	26	12	13	AirTap	
0	0.5738593	-0.5034723	1.630188	2	26	13	14	AirTap	
0	0.8338161	0.02079047	2.166382	2	26	14	15	AirTap	
0	0.1279495	0.5011213	1.402557	2	26	15	16	AirTap	
0	0.871783	0.1293933	1.401245	2	26	16	17	AirTap	
0	-0.5000319	-0.7507854	1.59726	2	26	17	18	AirTap	
0	0.7197265	-0.1456688	2.000427	2	26	18	19	AirTap	
0	-0.3433886	-0.07821751	1.672394	2	26	19	20	AirTap	
0	0.1120793	0.03113521	1.759399	1.5	26	20	0	AirTap	
0	-0.3918213	0.2992586	1.600067	1.5	26	0	1	AirTap	
0	0.2639028	0.3682359	1.601227	1.5	26	1	2	AirTap	
0	-0.02247713	-0.5625361	1.732422	1.5	26	2	3	AirTap	
0	0.1693769	0.3510519	1.799377	1.5	26	3	4	AirTap	
0	0.01408086	-0.1509351	1.467194	1.5	26	4	5	AirTap	
0	0.1803816	0.7806122	1.46579	1.5	26	5	6	AirTap	
0	0.009117553	0.4656082	1.034454	1.5	26	6	7	AirTap	
0	-0.4420285	0.1729773	1.365692	1.5	26	7	8	AirTap	
0	0.6578098	0.8286483	1.300659	1.5	26	8	9	AirTap	
0	0.567807	0.5600629	1.200592	1.5	26	9	10	AirTap	
0	0.6408777	0.5888009	1.432678	1.5	26	10	11	AirTap	
0	0.2713898	-0.3394384	1.39917	1.5	26	11	12	AirTap	
0	0.8690487	0.7641591	1.000977	1.5	26	12	13	AirTap	
0	0.6159728	-0.9051927	1.967041	1.5	26	13	14	AirTap	
0	0.255848	0.3652472	1.666718	1.5	26	14	15	AirTap	
0	0.8615125	-0.362687	1.465424	1.5	26	15	16	AirTap	
0	1.730946	0.2183022	1.800049	1.5	26	16	17	AirTap	
0	-0.4004245	-0.5087605	1.868103	1.5	26	17	18	AirTap	
0	0.7224922	0.6537253	1.66684	1.5	26	18	19	AirTap	
0	0.8482141	-0.1447799	1.999207	1.5	26	19	20	AirTap	
0	0.8679892	0.5581219	2.033173	1.5	29	20	0	AirTap	
0	-0.001180443	0.1804094	1.666534	1.5	29	0	1	AirTap	
0	-1.662423	-0.09141023	1.700043	1.5	29	1	2	AirTap	
0	-0.1972841	-0.4667845	1.767242	1.5	29	2	3	AirTap	
0	0.2107087	0.5922028	1.532471	1.5	29	3	4	AirTap	
0	-0.0224831	-0.3495927	1.832886	1.5	29	4	5	AirTap	
0	0.448911	1.090665	1.900146	1.5	29	5	6	AirTap	
0	0.4932721	0.003154929	1.367279	1.5	29	6	7	AirTap	
0	-0.001700305	0.00530073	1.466522	1.5	29	7	8	AirTap	
0	0.1944844	-0.9492002	2.033569	1.5	29	8	9	AirTap	
0	-1.236241	1.066991	2.165955	1.5	29	9	10	AirTap	
0	-0.0854845	-0.3721975	1.767334	1.5	29	10	11	AirTap	
0	0.1765621	0.6051995	1.533936	1.5	29	11	12	AirTap	
0	0.5357117	-0.4814859	1.465576	1.5	29	12	13	AirTap	
0	0.8061576	0.997272	2.433563	1.5	29	13	14	AirTap	
